sentence,food,service,ambience,anecdotes/miscellaneous,price
Whether your choose the iced blended mocha or the hot white mocha you are sure to be extremely happy.,1.0,,,,
last Tuesday for a late lunch with a friend.,,,,0.0,
It was delish and I didn't feel bad eating it.,1.0,,,,
Another friend had to ask 3 times for parmesan cheese.,,0.0,,,
"Our waitress had apparently never tried any of the food, and there was no one to recommend any wine.",,2.0,,,
"The service was a bit slow and the portions are a bit small so if you are hungry and in a rush, this is not the place for you.",0.0,2.0,,0.0,
"No doubt the next time we want to go out for a special occasion or are entertaining guests from out of town, Spirit and Bateaux will be our destination.",,,,1.0,
i would recommend Jewel Bako if you want to feel like you were kicked in the groin and had to pay for it too.,,,,2.0,
"The ambiance was pretty cool, but not worth the hassle.",,,,0.0,
The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.,,0.0,,,
"El Nidos one of the best restaurants in New York which I've ever been to, has a great variety of tasty, mouth watering pizza's.",1.0,,,1.0,
"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.",2.0,2.0,,0.0,2.0
Although I moved uptown I try to stop in as often as possible for the GREAT cheap food and to pay the friendly staff a visit.,1.0,1.0,,,0.0
I had to wait for my friend at the bar for a few minutes,,,,0.0,
"Chef Vincenzo, always there if you need him, is a real talent and a real Roman.",0.0,,,,
"If you're looking to taste some great Indian food and want good service, definitely visit Curry Leaf.",1.0,1.0,,,
"You must try Odessa stew or Rabbit stew; salads-all good; and kompot is soo refreshing during the hot summer day (they make it the way my mom does, reminds me of home a lot).",1.0,,,0.0,
My daughter and I left feeling satisfied (not stuffed) and it felt good to know we had a healthy lunch.,1.0,,,,
I'm almost tempted to give this place a bad review so I can keep the crowds away...been going there on and off for a year now and it's really my fave hang out in the city.,,,,0.0,
"When she complained, the waitress said, Sorry.",,2.0,,,
The quality of the meat was on par with your local grocery store.,1.0,,,,
They specialize in smoothies and fresh juices.,0.0,,,,
"It first came well done, and I politely sent it back.",2.0,,,,
"I recommend the black roasted codfish, it was the best dish of the evening.",1.0,,,,
The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.,,2.0,,0.0,
"In mi burrito, here was nothing but dark chicken that had that cooked last week and just warmed up in a microwave taste.",2.0,,,,
"during busy hrs, i recommend that you make a reservation.",,,,1.0,
Don't waste your time or your money.,,,,2.0,
"it's good but, like the movie is never as good as the book, this is same analogy.",,,,,
it was a very warm experience.,,,,1.0,
I went to Common Stock for brunch and I was so impressed.,,,,1.0,
"now called nikki sushi, sushi is OK.",0.0,,,,
The food is also outstanding and is served quite quickly.,1.0,0.0,,,
I just have nothing to say about this place that is negative except that it's not a cheap night out...but it's SO worth it.,,,,0.0,
"From the erbazzone emiliana to the mostarda on the cheese plate, the dishes at this restaurant are all handled with delicate care.",1.0,,,,
The food is delicious and the bar has a great vibe.,1.0,,1.0,,
expectations were real hi reading the '10's'.,,,,0.0,
There's candlelight and music.,,,1.0,,
It's nice to find a place that is open 24 hours (especially in downtown Brooklyn).,,,,1.0,
Simple healthy unglamorous food cheap.,1.0,,,,1.0
"It was such a fantastic dining experience, that I returned again the same week.",,,,1.0,
"To be fair, the food still is good and the service is quick and attentative even though its usually very busy.",1.0,1.0,,,
The place is absolutely adorable and the food is delicious.,1.0,,0.0,,
I ordered the Chicken Teriyaki and my husband got Garlic Shrimp.,0.0,,,,
I've had better Japanese food at a mall food court.,2.0,,,,
The staff members are extremely friendly and even replaced my drink once when I dropped it outside.,,1.0,,,
Cool atmosphere but such a let down.,,,1.0,2.0,
"The Sashimi portion are big enough to appease most people, but I didn't like the fact they used artifical lobster meat.",,,,,
They have wheat crusted pizza made with really fresh and yummy ingredients.,1.0,,,,
"Had a lovely dinner in this dedicated seafood joint, food was well-prepared and -presented and the service was pleasant and prompt.",1.0,1.0,,,
"the icing MADE this cake, it was fluffy, not ultra sweet, creamy and light.",1.0,,,,
"Finally let into the store 5 at a time, to buy expensive slices from a harried staff.",,0.0,,0.0,2.0
We ended up having to just leave because we were essentially being ignored by the wait staff--even though the rest of the restaurant was largely empty.,,2.0,,0.0,
"The wine list is extensive, well priced and covers alot of regions.",0.0,,,,1.0
Go here if you want fresh and tasty salads of any type you can imagine.,1.0,,,,
Everything about this place is adorable - even the bathroom!,,,1.0,1.0,
"Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.",1.0,1.0,,,1.0
THEY HAVE WAITERS ON THE SIDEWALK TRYING TO PULL YOU IN WHICH MADE US SUSPICIOUS.,,,,2.0,
IT WAS OUR ONLY OPPORTUNITY TO VISIT AND WANTED AN AUTHENTIC ITALIAN MEAL.,,,,1.0,
It took 100 years for Parisi to get around to making pizza (at least I don't think they ever made it before this year)...but it was worth the wait.,0.0,,,,
I asked for a simple medium rare steak.,1.0,,,,
"Generously garnished, organic grilled burgers are the most popular dish, but the Jerusalem market-style falafel wraps and Mediterranean salads--layered with beets, goat cheese and walnuts--are equally scrumptious.",1.0,,,,
"Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about.",,,,2.0,
"Result (red velvet): Great texture, soft and velvety, nice hint of cocoa.",1.0,,,,
Ask for the round corner table next to the large window.,,,,0.0,
"Their twist on pizza is heatlhy, but full of flavor.",0.0,,,,
The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.,,,2.0,,
"I love the Little Pie Company as much as anyone else who has written reviews, but must discourage anyone from visiting the Grand Central location due to their RUDE service from two sales people.",,2.0,,,
"Unfortunately, unless you live in the neighborhood, it's not in a convenient location but is more like a hidden treasure.",,,,,
Didn't seem like any effort was made to the display and quality of the food.,2.0,,,,
The food--though mostly deep-fried--is simple and satisfying.,1.0,,,,
We live in the neighborhood and have been going there twice a week since the day they first opened.,,,,0.0,
"Glechik might be way too tiny for a restaurant by Russian standards, but it is cozy and the food is simply GREAT.",1.0,,,,
The food was excellent - authentic Italian cuisine made absolutely fresh.,1.0,,,,
At night the atmoshere changes turning into this hidden jewel that is waiting to be discovered.,,,1.0,,
"The other times I've gone it's romantic date heaven, you can walk in get a booth by the windows, be treated like a VIP in a not-crowded place, with great food and service.",1.0,1.0,0.0,,
I would only go for the coffee which is way better than Starbucks or the like.,1.0,,,,
I used to be a regular costumer at pongal until dosa hut opened right next door to it.,,,,0.0,
Somewhat disappointing wine list (only new vintages.,0.0,,,,
"Both were very good, but nothing you couldn't get at similar restaurant.",,,,,
If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!,2.0,,2.0,,2.0
new hamburger with special sauce is ok - at least better than big mac!,,,,,
"Perfectly al dente pasta, not drowned in sauce -- generous portions.",1.0,,,,
"I can understand the prices if it served better food, like some Chinese restaurants in midtown/uptown area.",1.0,,,,0.0
Service was awful - mostly because staff were overwhelmed on a Saturday night.,,2.0,,0.0,
"To the owners; good job guys, this place is a keeper!",,,,1.0,
and the owner is simply lovely and friendly.,,1.0,,,
This little place is wonderfully warm welcoming.,,,1.0,,
perfect for a quick meal.,,,,1.0,
Has the warmth of a family local yet it is a great place to watch sporting events.,,,1.0,,
"The service was great, and they have a whole great deal for birthdays.",,1.0,,,0.0
The staff is 100% Italian and the food is as authentic as it gets.,1.0,0.0,,,
My only complaint might be the fortune cookies - I've never had a cookie predict bad luck for me before I visited Kar.,,,,0.0,
Good for a quick sushi lunch.,,,,0.0,
Have a mojito and sit in the back patio.,1.0,,1.0,,
The service was dreadfully slow (the place was only half full) and a smile would have been nice...,,2.0,,,
I went this past Saturday and had a excellent meal of consisting of a braised lamb shank with mashed potatoes.,1.0,,,,
The waitress came by to pick up the soy sauce WHILE we were eating our lunch!!!!!,,1.0,,,
"So we sat at the bar, the bartender didn't seem like he wanted to be there.",,2.0,,,
"I reccomend the fried pork dumplings, the orange chicken/beef, and the fried rice.",1.0,,,,
You will not be dissapointed by any of the choices in the menu.,1.0,,,,
The french fries -- with the kalmata dip were terrific!,1.0,,,,
"Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?",,2.0,,,
The boutique selection of wines covers a wide variety without being imposeing.,0.0,,,,
"If you're lucky and there's not a private party going on back there, you'll get a chance to really chill out.",,,,,
They also have a great assortment of wraps if your not in the mood for traditional Mediterranean fare.,1.0,,,,
"Fresh veggies, all sorts of middle eastern spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... soooo much fooood, and all of it delicious.",1.0,,,,
"Disappointingly, their wonderful Saketini has been taken off the bar menu.",,,,,
In Short The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a mix of sports-bar butch and ornate kitsch.,,,0.0,,
I would definitely go back -- if only for some of those exotic martinis on the blackboard.,1.0,,,0.0,
They are located off the beaten path but are certainly worth the trip.,,,,,
then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.,,0.0,,2.0,
"The happy hour is so cheap, but that does not reflect the service or the atmosphere.",,2.0,0.0,,1.0
"After waiting for almost an hour, the waiter brusquely told us he'd forgotten to give the kitchen our order.",,2.0,,,
With all the mundane or mediocre places on 8th avenue it is nice to have one that is a step above in quaility and atmosphere.,,,0.0,1.0,
"A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices.",1.0,,0.0,,1.0
"Give it a try, menu is typical French but varied.",1.0,,,1.0,
It gets crowded at lunchtime but there are lots of seats in back and everyone who works there is so nice.,,1.0,,,
"but for the value, it was a great affordable spot to enjoy a fun night out with small group.",,,1.0,,0.0
the negative reviews on city search are probably from jealous competing restaurants who realize they can't compete with Temple's entire positive attitude about the proper way to treat their customers and deliver top quality food.,1.0,1.0,,,
We ordered a glass of wine and were finished eating and paying before the wine came.,0.0,2.0,,,
"It was good, but none of the flavors WOW.",,,,,
"Overall, this is a nice place to take a few friends to hang out at and the service is excellent.",,1.0,0.0,,
Food is excellent quality for a good restaurant price.,1.0,,,,0.0
"Actually, everyone who worked there seemed to be annoyed.",,,,2.0,
"for about eleven bucks you get a gigantic burrito (or tacos), margarita, and dessert.",1.0,,,,0.0
The space is traditional in feel.,,,1.0,,
"the restaurant was completely empty, but she gave me a dirty look and asked, no reservations?",,2.0,,,
the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw whilst dining.,2.0,2.0,2.0,,
"Good service, great food, good value, and never have to wait in line!",1.0,1.0,,,1.0
Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.,1.0,,,,
"I have been going to this restaurant for years, in the past the service was average and the food inconsistant.",1.0,1.0,,,
"The music was fascinating, but left room for conversation, and the bartender made superb drinks.",0.0,,1.0,,
rice dishes and noodle dishes rarely exceed $5 and add on a refreshing ice drink for $2 and you're set for the night!,1.0,,,,1.0
Cuisine is billed as asian fusion - doesn't meet the bill.,2.0,,,,0.0
Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.,1.0,,,,
"Dishes denoted as ""Roy's Classics"" (marked on the menu with asterisks) are tried-and-true recipes, such as macadamia-crusted mahi mahi, or subtly sweet honey-mustard beef short ribs.",0.0,,,,
"The cold sesame noodles, which are a freebie when you order $10+, are delectable.",1.0,,,,0.0
"I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating.",2.0,,2.0,,
The lone argentine chorizo appetizer at $8.95 was a heavy fennel flavored Italian sausage like the ones that sell for $2.99/lb at the store.,0.0,,,,2.0
"I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing.",,,,,
"Best Chinese on the Upper East, prompt delivery, good value.",,0.0,,1.0,1.0
Most of the sandwiches are made with soy mayonaise which is actually pretty good.,1.0,,,,
i went in one day asking for a table for a group and was greeted by a very rude hostess.,,2.0,,,
It's worthwhile to take a cab to Chelsea just for an awesome dinner at My Chelsea.,,,,0.0,
"Not only is the food authentic, but the staff here are practically off-the-boat, they are young and hip and know what they are doing when it comes to food and wine.",1.0,0.0,,,
"It has good music, nice tapas, an interesting selection of wines (primarily Spanish) and a lowkey hip neighborhood clientele.",0.0,,1.0,,
"The food is great, I love their dumplings, cold sesame noodles, chicken and shrimp dishs.",1.0,,,,
"And the food, well the food will keep you coming back.",1.0,,,,
Waiting three hours before getting our entrees was a treat as well.,,0.0,,,
It's the conversations that make this a fun place to be.,,,1.0,,
"My gf's duck confitte was very solid as well, although i have little base of reference.",0.0,,,,
"The wine list was superb, our tapas delightful, and the quiet atmosphere perfect for good conversation.",1.0,,1.0,,
You can eat gourmet food at a fast food price.,1.0,,,,1.0
"I've eaten at all three locations and I always love, love the food, the service is always wonderful and the prices are really reasonable.",1.0,1.0,,,1.0
"Not because I was pregnant, but the food here is always delicious.",1.0,,,,
Had a great meal there this weekend before heading to the movies!,0.0,,,,
We had a birthday party here recently and the food and service was amazing.,1.0,1.0,,,
"the dinner menu offers a variety of great entrees, including fresh seafood and huge steaks, there's also a couple of non-meat alternatives.",1.0,,,,
This place has the strangest menu and the restaurants tries too hard to make fancy food.,2.0,,,,
"The appetizers are ok, but the service is slow.",0.0,2.0,,,
the food - not worth the price.,2.0,,,,2.0
"What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).",,2.0,,,
The prices are not terrible.,,,,,1.0
15% gratuity automatically added to the bill.,,,,,0.0
"The halibut cheek appetizer came with a generous portion of foie gras, but that's about the only positive thing I can say about the meal.",,,,,
Food is excellent and they also have empenadas and plaintains which are good for an afternoon snack.,1.0,,,,
Both a number of the appetizer and pasta specials were amazing.,1.0,,,,
"All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and McDonald's famous french fries; lighter options like entree-sized salads are also available.",0.0,,,,
"Although somewhat loud, the noise was minimally intrusive.",,,,,
"It's a basic pizza joint, not much to look at, but the pizza is what I go for.",1.0,,0.0,,
"Tables are close, so you better be comfortable bumping elbows with other patrons.",,,0.0,,
Was her Monday for lunch - was working on a film in the area - and found this rare jewel.,,,,0.0,
"Not too much so, but enough that there's a great scene.",,,1.0,,
You feel like you made it to New York when you eat here.,,,,1.0,
We'd walked by it dozens of times and finally settled on a Monday night.,,,,0.0,
"SUM IT: don't read the '10's' reviews, try it to judge for yourself so you won't have as hi expectations, then you'll be sure to enjoy it.",,,,1.0,
"We went there, no one greeted us.",,2.0,,,
Dug the blue bar area too.,,,0.0,,
We spent so much time getting elbowed around while we waited we left.,,,2.0,,
"I got the opportunity to dine at your establishment again a few weeks ago, I was in your upstrairs dining area.",,,,1.0,
"Meat-phobes are in luck with the extraordinary veggie burger, made from a distinctive blend of chickpeas, carrots and other vegetables and spices.",1.0,,,,
"At peak times, the restaurant is overcrowded and tables are uncomfortably close.",,,2.0,,
The service was on point - what else you would expect from a Ritz?,,1.0,,,
"Menus feature seasonal picks, like sweet corn-foie gras brulee.",1.0,,,,
"Innovations are just as assured, from the simple Carinthia cheese ravioli with wild mushrooms to the caviar-topped sturgeon, beautifully matched with a bright green spinach-vodka sauce.",1.0,,,,
"And these are not small, wimpy fast food type burgers - these are real, full sized patties.",1.0,,,,
"There restaurant is very casual, but perfect for lunch, and their delivery service is always very fast.",,1.0,0.0,,
Chinatown definitely has better quality with cheaper prices.,1.0,,,,1.0
I had to flag down a third staff person for a fork... so now it's goodbye Little RUDE Pie Company.,,2.0,,,
I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .,,,,0.0,
"Go with the specials, and stay away from the salmon. ",,,,,
The pastas were pretty good.,1.0,,,,
Atmosphere is a bore.,,,2.0,,
The decor is what initially got me in the door.,,,1.0,,
The wait staff was very attentive and polite.,,1.0,,,
"Great restaurant, and even greater food!",1.0,,,1.0,
The dishes are remarkably tasty and such a cozy and intimate place!,1.0,,1.0,,
Save room for the desserts! ;-),1.0,,,,
"I love the simplicity and respect which was given to the food, as well the staff was freindly and knowledgable.",1.0,1.0,,,
Service was good and so was the atmosphere.,,1.0,1.0,,
MY date and I both ordered the Branzini and both felt the fish was very average.,2.0,,,,
We were there March 7 and found Maison very nice.,,,,1.0,
"The food was good, the service prompt, and the price very reasonable. ",1.0,1.0,,,1.0
"Wonderful menu, warm inviting ambiance, great service the FOOD keeps me coming back!",1.0,1.0,1.0,,
"Great food, good wine and an excellent host.",1.0,0.0,,,
went there last night with my coworker.,,,,0.0,
Pizzas were excellent in addition to appetizers and main courses.,1.0,,,,
"Definitely try the calamari, any pasta, or even the Sliced steak entree.",1.0,,,,
The caeser salad was great.,1.0,,,,
The fried calamari was even better!,1.0,,,,
The atmosphere was nice but it was a little too dark.,,,,,
The food was good overall. ,1.0,,,,
The food was outstanding and the service was tops.,1.0,1.0,,,
The portions are very large and the service is fantastic!!,1.0,1.0,,,
I recomend the chicken milanese.,1.0,,,,
"excellent tapas at great prices, romantic, small but not overly crowed, excellent",0.0,,0.0,,0.0
"The service is a quite slow, but friendly.",,,,,
"The chocolate raspberry cake is heavenly- not too sweet, but full of flavor.",1.0,,,,
"Our waiter was helpful and charming, the food was perfect, and the wine was good, too.",1.0,0.0,,,
Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.,,,1.0,,
I HAVE NEVER HAD A BAD MEAL(OR BAD SERVICE )@ PIGALLE.,1.0,1.0,,,
Best hot dogs in the tri-state area.,1.0,,,,
This is a typical example of an establishment in which its owners do not know anything about the restaurant business!,,,,2.0,
"I would not recommend MEET at all, it is a rip off all the way from the time to step in!",,,,2.0,
Went there for a special celebration.,,,,0.0,
The restaurant was quiet and intimate.,,,1.0,,
The service was very attentive and very generous.,,1.0,,,
"We had tons of great food, wine, and desserts.",1.0,,,,
Really Lovely dining experience in the midst of buzzing midtown area.,,,,1.0,
"OK, I've been to Dumont a few times now.",,,,0.0,
The food really isn't very good and the service is terrible.,2.0,2.0,,,
"Maybe it's that most of Dumont's patrons are younger and have lower expectations, but I cannot recommend Dumont.",,,,0.0,
"Not only do they have the best escargot in town,they always try to accomodate our toddler.",1.0,0.0,,,
"I've been to Sotto Voce several time, and I have to say this one place that hits the nail right on the head ever time!",,,,0.0,
"Between my guest and I, we sampled at least 80% of the menu, and they were all hits.",1.0,,,,
The Deco and ambiance was really romantic.,,,1.0,,
This is the best unknown restaurant in and around New York.,,,,1.0,
Just go in and sample the greatest french food west of Daniel.,1.0,,,,
"For someone who used to hate Indian food, Baluchi's has changed my mid.",0.0,,,,
"Finally a curry that I can eat, enjoy and not suffer from gastritis from 3 hours later.",1.0,,,,
"All are GREAT - poori, naan, paratha all FRESH.",1.0,,,,
Try the homemade breads.,1.0,,,,
"This place has beautiful sushi, and it's delicious CHEAP. ",1.0,,,,1.0
It also has lots of other Korean dishes that are affordable and just as yummy.,1.0,,,,0.0
I went for restaurant week and ordered off the prix fixe menu,0.0,,,,
"Not only was the waiter efficient and courteous, but also extremely helpful. ",,1.0,,,
It took a bigger bite from my wallet than my appetite - I would not reccomend this to anyone that I would want to talk to me again!!,2.0,,,0.0,2.0
"This place is classy, chic, the service is warm and hospitable, and the food is outstanding.",1.0,1.0,0.0,,
I read about this place in Time Out magazine.,,,,0.0,
It's a great find in Astoria.,,,,1.0,
"Great burgers, grilled cheeses and french fries.",1.0,,,,
The Yellowfin Tuna and Calf's liver are my favorites!,1.0,,,,
Sushi so fresh that it crunches in your mouth.,1.0,,,,
But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.,,,,,2.0
Despite the 5th ave address there are no frills whick I also love.,,,0.0,,
They bring a sauce cart up to your table and offer you up to 7 or 8 choices of sauces for your steak (I tried them ALL).,1.0,,,,
"Not only was the sushi fresh, they also served other entrees allowed each guest something to choose from and we all left happy (try the duck!",1.0,,,,
good variety but nothing surprising.,,,,,
"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie.",,0.0,,,
Likewise if you like really thin crust or really big slices then Nick and Joe's may not be your favorite.,0.0,,,,
It's always quiet because it's awful.,,,,2.0,
"No green beans, no egg, no anchovy dressing, no nicoise olives, no red onion.",0.0,,,,
"Build a meal with side orders like Amazin' Greens salads, Buffalo Chicken Kickers and Cinna Stix.",0.0,,,,
"Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty.",0.0,,,,
I always find myself asking the waiter to make something bland and different than what is on the menu.,2.0,,,,
"Good cake BUT: it was not the best cake i've ever had, and definately not worth standing outside on the sidewalk being herded like cattle by indifferent and overworked employees.",,2.0,,,
"The closest that I got was the Cherry Marscapone, but they were out of it that day.",0.0,,,,
"The homage to India is most evident in the delectable roti canai appetizer, a fried pancake served with pungent curry dipping sauce, while the mango chicken offers a surprisingly sophisticated, fresh take on sweet-and-sour.",1.0,,,,
"It doesn't look like much on the outside, but the minute you walk inside, it's a whole other atmosphere.",,,,,
I have to say the place was awesome.,,,,1.0,
The ground chickpea soup we sampled as a starter tasted somewhat thin.,2.0,,,,
"We requested they re-slice the sushi, and it was returned to us in small cheese-like cubes.",2.0,,,,
"The service, however, is a peg or two below the quality of food (horrible bartenders), and the clientele, for the most part, are rowdy, loud-mouthed commuters (this could explain the bad attitudes from the staff) getting loaded for an AC/DC concert or a Knicks game.",2.0,2.0,0.0,,
"If you're in the neighborhood, definitely stop by for a great meal.",1.0,,,,
"Unfortunately, with our show tickets, we didn't have time to sample any desserts.",0.0,,,,
"The restaurant could use a little paint, but all in all a great sushi place!",,,,1.0,
Make more tables- perhaps a rooftop bar?,,,1.0,,
"The decoration was feeling like we was on the Cairo, actually the street is part of that adventure.",,,1.0,0.0,
"Although small, it has beautiful ambience, excellent food (the catfish is delicious - if ya don't mind it a lil salty) and attentive service.",1.0,1.0,1.0,,
I didn't go there for food so I can't comment.,,,,0.0,
"My friends and I go once a week (minimum, we live in the area) and everytime can't resist walking out ready to burst.",,,,0.0,
"Stick to the items the place does best, brisket, ribs, wings, cajun shrimp is good, not great.",1.0,,,,
"Hip boutiques and bars on Ludlow add to the artsy, laid-back atmosphere at this Israeli-style takeout and eat-in burger joint.",,,1.0,,
"Young neighborhood trendies graze at the counter during the day, while chic, art-house drinkers with heavy doses of the munchies pile in late at night.",,,1.0,,
Bring your date and a bottle of wine!,,,,1.0,
"Not only is this the best Thai restaurant I have been to, but it also ranks as one of my favorite places to dine.",,,,1.0,
Don't be put off by another reviewers extremely negative review.,,,,2.0,
"My Chelsea's impressive and creative menu includes modern, Westernized Japanese dishes such as Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, black cod with miso base, and rack of lamb in black truffle sauce, to name a few.",0.0,,,,
"His food is excellent (and not expensive by NYC standards- no entrees over $30, most appetizers $12 to 14).",1.0,,,,0.0
The food is consistant and good but how it got name Best Diner In Manhattan is beyond me.,0.0,,,,
"The pasta primavera was outstanding as well, lots of fresh veggies.",1.0,,,,
"don't get me wrong - sushi was good, just not fantastic.",0.0,,,,
Being Puerto Rican I know a thing or two about flan and this place serves one of the best (I hope Mom doesn't read this!).,1.0,,,,
"Been to the one in Brooklyn for over 25 years, now I dont have to go over the bridge for the best pizza ....Hanx",1.0,,,,
Had dinner here on a Friday and the food was great.,1.0,,,0.0,
"We recently spent New Year's Eve at the restaurant, and had a great experience, from the wine to the dessert menu.",1.0,,,1.0,
"Highly recommended...  As stated, I haven't dined *in* the restaurant but stopped by there to pick up takeout and it seems a very relaxing place; also, the bar looks nice.",,,1.0,0.0,
"The ambiance was fine, a little loud but still nice and romantic.",,,1.0,,
"but, the filet mignon was not very good at all cocktail hour includes free appetizers (nice non-sushi selection).",,,,,0.0
It took about 2 1/2 hours to be served our 2 courses.,,2.0,,,
Who said go when the place is quiet during the day?,,,1.0,,
Can be a bit busy around peak times because of the size.,,,1.0,,
"I was on jury duty, rode my bike up Centre Street on my lunch break and came across this great little place with awesome chicken tacos and Hibiscus lemonade.",1.0,,0.0,1.0,
good place to hang out during the day after shopping or to grab a simple soup or classic french dish over a glass of wine.,1.0,,,1.0,
Very nice touch that very much fits the place.,,,1.0,,
"However, there is just something so great about being outdoors, in great landscaping, enjoying a casual drink that makes going to this place worthwhile.",,,1.0,,
We were seated promptly in close proximity to the dance floor.,,,,0.0,
"If you are here as a pre-show meal, hop in a cab and take the extra 10 minutes to go to the uptown location.",,,,0.0,
A plus was the good mix of people in their twenties that provided for great eye-candy while I was there.,,,1.0,,
"The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good.",,,,,
It's best to go on a cold night with a close friend or a good book.,,,,0.0,
"Slow service, but when you're hanging around with groups of 10 or 20, who really notices?",,0.0,,,
The sauce is excellent (very fresh) with dabs of real mozzarella.,1.0,,,,
"Don't ever bother - the drinks were awful, but it was the people who work there that really made this the worst experience at dining.",0.0,2.0,,,
"The room is a little plain, but it's difficult to make such a small place exciting and I would not suggest that as a reason not to go.",,,0.0,,
Prices even outside of restaurant week were great.,,,,,1.0
"A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends.",,,1.0,,
Before the place didn't call my attention.,,,,0.0,
"And all the [female] servers are cute too, which is always nice.",,1.0,,,
"The best dessert, a chocolate and peanut butter tart, isn't particularly Hawaiian, but it's a small world when it comes to sweets.",0.0,,,,
"for an appetizer, their calamari is a winner.",1.0,,,,
Satay is one of those favorite haunts on Washington where the service and food is always on the money.,1.0,1.0,,,
After dinner I heard music playing and discovered that there is a lounge downstairs.,,,1.0,,
"But now that it's under new ownership and has been renovated, it looks great.",,,1.0,,
"The room is a gorgeous, bi-level space and the long bar perfect for a drink.",,,1.0,,
Now we moved out of the state and every visit to NYC includes a stop here.,,,,1.0,
"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",2.0,,,,
I don't remember what we had; nothing was memorable.,,,,0.0,
It is bland and nothing extrodinary.,2.0,,,,
I was especially impressed during the bday party when the waitstaff went above and beyond in helping me decorate and bring out a bday cake as well as offering prompt and friendly service to a 15 person party.,,1.0,,,
The chicken and falafel platters were nondescript combinations with fresh leaf salad.,0.0,,,,
"Every time I visit NYC, I come here.",,,,0.0,
"I've been coming here regularly since it opened, about 2 years ago.",,,,1.0,
"The atmosphere takes you to that place, the place many dream of.",,,1.0,,
"several times and put up with the waiters' bad manners, knowing that their job isn't easy.",,0.0,,,
"The service is great (maybe even borderline nagging but at least you get attention), the desserts are excellent and the coffee is so very good...",0.0,,,,
We were seated next to a couple whose kitchen was being renovated and we agreed since we're all foodies who eat out a lot - that this wasn't a place we'd return to.,,,,0.0,
They are served on Focacchia bread and are to die for.,1.0,,,,
"While the smoothies are a little big for me, the fresh juices are the best I have ever had!",,,,,
"The food is just OKAY, and it's almost not worth going unless you're getting the pialla, which is the only dish that's really good.",,,,,
"The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.",,,,,
"The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone.",0.0,,,,2.0
It' only open for lunch but the food is so good!,1.0,,,0.0,
If you like seafood and/or Greek food you will love this place though it is not limited to just these things.,1.0,,,,
""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians.",0.0,,,,
How can they survive serving mediocre food at exorbitant prices?!,2.0,,,,2.0
The food was mediocre and the service was severely slow.,1.0,2.0,,,
i have eaten here on a different occasion - the food is mediocre for the prices.,2.0,,,,2.0
I'm looking forward to going back soon and eventually trying most everything on the menu!,1.0,,,0.0,
I just had my first visit to this place and can't wait to go back and slowly work my way through the menu.,,,,1.0,
I asked repeatedly what the status of the meal was and was pretty much grunted at by the unbelievably rude waiter.,,2.0,,0.0,
